30.843	1.123
31.967	1.150
33.117	1.137
34.253	1.153
35.407	1.130
36.537	1.160
37.697	1.140
38.837	1.147
39.983	1.190
41.173	1.150
42.323	1.153
43.477	1.133
44.610	1.173
45.783	1.153
46.937	1.160
48.097	1.143
49.240	1.157
50.397	1.127
51.523	1.190
52.713	1.153
53.867	1.127
54.993	1.143
56.137	1.150
57.287	1.143
58.430	1.150
59.580	1.137
60.717	1.143
61.860	1.150
63.010	1.147
64.157	1.140
65.297	1.137
66.433	1.150
67.583	1.137
68.720	1.130
69.850	1.140
70.990	1.103
72.093	1.113
73.207	1.147
74.353	1.153
75.507	1.143
76.650	1.170
77.820	1.170
78.990	1.137
80.127	1.133
81.260	1.130
82.390	1.143
83.533	1.127
84.660	1.150
85.810	1.133
86.943	1.143
88.087	1.113
89.200	1.143
90.343	1.157
91.500	1.163
92.663	1.177
93.840	1.127
94.967	1.143
96.110	1.170
97.280	1.143
98.423	1.127
99.550	1.143
100.693	1.153
101.847	1.147
102.993	1.160
104.153	1.133
105.287	1.133
106.420	1.147
107.567	1.157
108.723	1.127
109.850	1.157
111.007	1.140
112.147	1.130
113.277	1.120
114.397	1.153
115.550	1.143
116.693	1.163
117.857	1.160
119.017	1.180
120.197	1.120
121.317	1.167
122.483	1.163
123.647	1.127
124.773	1.147
125.920	1.123
127.043	1.150
128.193	1.117
129.310	1.130
130.440	1.137
131.577	1.143
132.720	1.153
133.873	1.150
135.023	1.113
136.137	1.143
137.280	1.147
138.427	1.110
139.537	1.120
140.657	1.120
141.777	1.173
142.950	1.143
144.093	1.120
145.213	1.123
146.337	1.150
147.487	1.167
148.653	1.143
149.797	1.170
150.967	1.170
152.137	1.167
153.303	1.167
154.470	1.167
155.637	1.147
156.783	1.167
157.950	1.177
159.127	1.163
160.290	1.160
161.450	1.163
162.613	1.170
163.783	1.183
164.967	1.173
166.140	1.190
167.330	1.187
168.517	1.197
169.713	1.177
170.890	1.180
172.070	1.173
173.243	1.200
174.443	1.223
175.667	1.247
176.913	1.200
178.113	1.190
179.303	1.227
180.530	1.207
181.737	1.270
183.007	1.260
184.267	1.203
185.470	1.207
186.677	1.207
187.883	1.203
189.087	1.197
190.283	1.160
191.443	1.197
192.640	1.210
193.850	1.177
195.027	1.190
196.217	1.187
197.403	1.193
198.597	1.157
199.753	1.177
200.930	1.153
202.083	1.170
203.253	1.183
204.437	1.167
205.603	1.167
206.770	1.160
207.930	1.193
209.123	1.187
210.310	1.170
211.480	1.193
212.673	1.197
213.870	1.230
215.100	1.180
216.280	1.257
217.537	1.250
218.787	1.180
219.967	1.193
221.160	1.203
222.363	1.190
223.553	1.170
224.723	1.180
225.903	1.193
227.097	1.193
228.290	1.183
229.473	1.187
230.660	1.183
231.843	1.200
233.043	1.193
234.237	1.167
235.403	1.180
236.583	1.200
237.783	1.210
238.993	1.183
240.177	1.190
241.367	1.173
242.540	1.197
243.737	1.187
244.923	1.193
246.117	1.163
247.280	1.207
248.487	1.190
249.677	1.187
250.863	1.193
252.057	1.203
253.260	1.183
254.443	1.183
255.627	1.210
256.837	1.190
258.027	1.167
259.193	1.213
260.407	1.220
261.627	1.193
262.820	1.190
264.010	1.200
265.210	1.213
266.423	1.183
267.607	1.207
268.813	1.200
270.013	1.197
271.210	1.197
272.407	1.207
273.613	1.217
274.830	1.240
276.070	1.263
277.333	1.250
278.583	1.253
279.837	1.200
281.037	1.217
282.253	1.203
283.457	1.207
284.663	1.223
285.887	1.200
287.087	1.207
288.293	1.220
289.513	1.213
290.727	1.203
291.930	1.207
293.137	1.230
294.367	1.190
295.557	1.200
296.757	1.180
297.937	1.160
299.097	1.203
300.300	1.187
301.487	1.180
302.667	1.187
303.853	1.177
305.030	1.213
306.243	1.143
307.387	1.180
308.567	1.163
309.730	1.173
310.903	1.190
312.093	1.183
313.277	1.177
314.453	1.183
315.637	1.203
316.840	1.170
318.010	1.187
319.197	1.200
320.397	1.190
321.587	1.210
322.797	1.217
324.013	1.197
325.210	1.197
326.407	1.170
327.577	1.190
328.767	1.197
329.963	1.183
331.147	1.180
332.327	1.190
333.517	1.160
334.677	1.153
335.830	1.140
336.970	1.140
338.110	1.143
339.253	1.167
340.420	1.160
